,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-07-12,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-07-12,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00774C,2021-07-12,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
3,00832B,2021-07-12,----,----,----,----,0,0,0,新光美債20+,otc,abnormal_format
4,00869B,2021-07-12,----,----,----,----,0,0,0,FT10-25年公司債,otc,abnormal_format
5,020004,2021-07-12,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
6,020006,2021-07-12,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
7,020007,2021-07-12,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
8,020009,2021-07-12,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
9,020010,2021-07-12,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
10,020011,2021-07-12,--,--,--,--,0,0,0,統一微波高息20N,exchange,abnormal_format
11,020013,2021-07-12,----,----,----,----,0,0,0,元富亞洲高股息N,otc,abnormal_format
12,020015,2021-07-12,--,--,--,--,0,0,0,統一MSCI美低波N,exchange,abnormal_format
13,02001B,2021-07-12,----,----,----,----,0,0,0,統一美國政府債N,otc,abnormal_format
14,02003L,2021-07-12,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
15,2424,2021-07-12,--,--,--,--,400,2,8800,隴華,exchange,abnormal_format
16,2724,2021-07-12,----,----,----,----,0,0,0,富驛-KY,otc,abnormal_format
17,2924,2021-07-12,----,----,----,----,0,0,0,東凌-KY,otc,abnormal_format
18,4416,2021-07-12,----,----,----,----,0,0,0,三圓,otc,abnormal_format
19,4429,2021-07-12,----,----,----,----,0,0,0,聚紡,otc,abnormal_format
20,5276,2021-07-12,----,----,----,----,0,0,0,達輝-KY,otc,abnormal_format
21,5455,2021-07-12,----,----,----,----,0,0,0,昇益,otc,abnormal_format
22,6236,2021-07-12,----,----,----,----,0,0,0,康呈,otc,abnormal_format
23,6680,2021-07-12,----,----,----,----,0,0,0,鑫創電子,otc,abnormal_format
24,8467,2021-07-12,--,--,--,--,0,0,0,波力-KY,exchange,abnormal_format
25,8923,2021-07-12,----,----,----,----,0,0,0,時報,otc,abnormal_format
26,9931,2021-07-12,--,--,--,--,0,0,0,欣高,exchange,abnormal_format
