date,open,high,low,close,volume,count,capital
1999-01-05,,,,158.0,94906000,28863,3106583000
1999-01-06,,,,156.62,101065000,31523,3062908000
1999-01-07,,,,160.6,124158000,35027,3587460000
1999-01-08,,,,161.93,144402000,39798,4217611000
1999-01-11,,,,162.38,108448000,31861,3551482000
1999-01-12,,,,160.73,98167000,32692,3332946000
1999-01-13,,,,157.41,170531000,44394,5523432000
1999-01-14,,,,154.44,177969000,44285,5536289000
1999-01-15,,,,158.86,143286000,39569,4260251000
1999-01-16,,,,160.55,194512000,48159,5596135000
1999-01-18,,,,156.37,100883000,28581,2769236000
1999-01-19,,,,155.58,84746000,24889,2349110000
1999-01-20,,,,155.16,100190000,26954,2698190000
1999-01-21,,,,156.82,115575000,33779,3234272000
1999-01-22,,,,154.32,99468000,32922,3121363000
1999-01-25,,,,149.53,90383000,26443,2555834000
1999-01-26,,,,151.28,113188000,28475,3073099000
1999-01-27,,,,153.19,128957000,32454,3472425000
1999-01-28,,,,151.02,74790000,23794,2044790000
1999-01-29,,,,149.92,84368000,25041,2376453000
1999-01-30,,,,151.3,144289000,37654,3524893000
1999-02-01,,,,147.55,89228000,24690,2158398000
1999-02-02,,,,143.94,90141000,25218,2284737000
1999-02-03,,,,143.48,99732000,28827,2448824000
1999-02-04,,,,138.99,121785000,33043,3002797000
1999-02-05,,,,140.08,105463000,30802,2744815000
1999-02-06,,,,146.25,143841000,38604,3711133000
1999-02-08,,,,149.5,148595000,40163,3968488000
1999-02-09,,,,146.16,96394000,27878,2369122000
1999-02-10,,,,147.05,108623000,29826,2663000000
1999-02-20,,,,152.86,126341000,30805,3040973000
1999-02-22,,,,157.25,138650000,31539,3352014000
1999-02-23,,,,154.77,258996000,60884,6457886000
1999-02-24,,,,154.21,144274000,36448,3512698000
1999-02-25,,,,156.51,191681000,49016,4927697000
1999-02-26,,,,155.99,135962000,36052,3161525000
1999-03-01,,,,154.96,120853000,31470,2924449000
1999-03-02,,,,153.24,96599000,28400,2385138000
1999-03-03,,,,156.07,138841000,38650,3519941000
1999-03-04,,,,155.77,160684000,42197,3935329000
1999-03-05,,,,155.31,125573000,33541,3082046000
1999-03-06,,,,156.23,107800000,31597,2777076000
1999-03-08,,,,156.56,71868000,23043,1899970000
1999-03-09,,,,158.37,119268000,37572,3361771000
1999-03-10,,,,158.44,143635000,38997,3724583000
1999-03-11,,,,157.61,134183000,40403,4117385000
1999-03-12,,,,157.06,94941000,31448,2927343000
1999-03-15,,,,159.97,141852000,39336,4119863000
1999-03-16,,,,159.59,170863000,48740,4975529000
1999-03-17,,,,162.52,222948000,59424,6147248000
1999-03-18,,,,165.2,226479000,61626,6422089000
1999-03-19,,,,166.88,227665000,63176,6609245000
1999-03-20,,,,166.01,195704000,55822,5727272000
1999-03-22,,,,167.89,172337000,47103,5344027000
1999-03-23,,,,166.62,177852000,55238,5805438000
1999-03-24,,,,165.02,129191000,42435,4068962000
1999-03-25,,,,166.15,137171000,40305,4346044000
1999-03-26,,,,166.24,134529000,38949,4319742000
1999-03-29,,,,162.76,139664000,37660,3873915000
1999-03-30,,,,162.04,115622000,35718,3539149000
1999-03-31,,,,161.85,95998000,29170,2826622000
1999-04-01,,,,162.12,107887000,32921,3216434000
1999-04-02,,,,166.26,201782000,50327,5643796000
1999-04-03,,,,165.62,194877000,51529,5638286000
1999-04-06,,,,165.09,121993000,31476,3493483000
1999-04-07,,,,164.03,120343000,33752,3644880000
1999-04-08,,,,166.71,184177000,49046,5605113000
1999-04-09,,,,165.31,160258000,44580,5128080000
1999-04-12,,,,164.38,118689000,37438,4010744000
1999-04-13,,,,167.42,172455000,45799,5815704000
1999-04-14,,,,170.26,261059000,67154,8436580000
1999-04-15,,,,173.0,289933000,73899,9054142000
1999-04-16,,,,176.45,393684000,92557,12058871000
1999-04-17,,,,178.1,344714000,83937,9576603000
1999-04-19,,,,181.35,355475000,76611,9863665000
1999-04-20,,,,179.86,292075000,73730,7993989000
1999-04-21,,,,174.22,275425000,75349,8064731000
1999-04-22,,,,173.62,194345000,54033,5968019000
1999-04-23,,,,176.22,207134000,53786,6427589000
1999-04-26,,,,176.78,157209000,43744,5075578000
1999-04-27,,,,174.16,181405000,49930,5460723000
1999-04-28,,,,172.52,139734000,38878,4626680000
1999-04-29,,,,168.53,141246000,39564,4251286000
1999-04-30,,,,170.76,130200000,37049,4187921000
1999-05-03,,,,173.91,160807000,45686,5367737000
1999-05-04,,,,177.49,246429000,62881,8000518000
1999-05-05,,,,176.74,227243000,61208,7272458000
1999-05-06,,,,177.75,192611000,57886,7107478000
1999-05-07,,,,177.64,192611000,57886,7107478000
1999-05-10,,,,181.94,227210000,75813,9052692000
1999-05-11,,,,179.57,254650000,76493,9270176000
1999-05-12,,,,177.96,139920000,45102,5432016000
1999-05-13,,,,176.36,126177000,38982,4297648000
1999-05-14,,,,179.18,151345000,44296,5100438000
1999-05-15,,,,178.46,138468000,48614,5500195000
1999-05-17,,,,178.36,168251000,51924,7254851000
1999-05-18,,,,177.55,151811000,49768,6311558000
1999-05-19,,,,180.77,203727000,64125,8729511000
1999-05-20,,,,179.55,203126000,66486,9022022000
1999-05-21,,,,180.21,154731000,50143,6623236000
1999-05-24,,,,180.01,217691000,69531,9725233000
1999-05-25,,,,176.86,251231000,80241,11123302000
1999-05-26,,,,174.57,200395000,67609,9006880000
1999-05-27,,,,175.21,163135000,53716,7419761000
1999-05-28,,,,173.04,175899000,56759,7765795000
1999-05-29,,,,173.84,183452000,64782,10023553000
1999-05-31,,,,169.86,200412000,66642,9620045000
1999-06-01,,,,171.93,164075000,55325,6961778000
1999-06-02,,,,173.58,185415000,54712,7434942000
1999-06-03,,,,174.27,225882000,66124,9024451000
1999-06-04,,,,176.1,187858000,56626,7414087000
1999-06-05,,,,177.65,230137000,69356,9074651000
1999-06-07,,,,177.63,228649000,73134,9026144000
1999-06-08,,,,182.32,275441000,78149,10555867000
1999-06-09,,,,180.84,230282000,72071,9743927000
1999-06-10,,,,181.32,252154000,73444,10442318000
1999-06-11,,,,180.15,208380000,61176,8056477000
1999-06-14,,,,178.24,143285000,46212,5685453000
1999-06-15,,,,175.3,160426000,51293,6280615000
1999-06-16,,,,175.07,143862000,50279,6144167000
1999-06-17,,,,177.83,237344000,71031,9610661000
1999-06-21,,,,179.16,266422000,76690,10210905000
1999-06-22,,,,180.91,297741000,79133,11155551000
1999-06-23,,,,178.98,246745000,70652,9108552000
1999-06-24,,,,181.0,216812000,64912,8515710000
1999-06-25,,,,174.76,200430000,64433,8285011000
1999-06-28,,,,174.46,129316000,44179,5819013000
1999-06-29,,,,179.95,202147000,60479,8311947000
1999-06-30,,,,178.62,194434000,60031,8318553000
1999-07-02,,,,180.14,222933000,68907,10004762000
1999-07-03,,,,179.81,199536000,63544,8714101000
1999-07-05,,,,181.2,154131000,48049,6491361000
1999-07-06,,,,178.42,181663000,56482,7337213000
1999-07-07,,,,177.63,158185000,50886,6856467000
1999-07-08,,,,180.43,177953000,48640,6832250000
1999-07-09,,,,180.58,204667000,60941,8276964000
1999-07-12,,,,181.02,205360000,60304,9101284000
1999-07-13,,,,176.09,225835000,75740,10370153000
1999-07-14,,,,169.27,192728000,54632,6871205000
1999-07-15,,,,170.55,169741000,50011,6311211000
1999-07-16,,,,160.23,201822000,61961,8474180000
1999-07-17,,,,158.12,192562000,58260,7069698000
1999-07-19,,,,158.26,140514000,44811,5652331000
1999-07-20,,,,166.32,140660000,42947,5693609000
1999-07-21,,,,165.55,163142000,55620,7722163000
1999-07-22,,,,165.09,132199000,44300,6245662000
1999-07-23,,,,165.18,108470000,37844,4567461000
1999-07-26,,,,164.75,111131000,40263,5575366000
1999-07-27,,,,161.33,107672000,38392,5046652000
1999-07-28,,,,163.98,117981000,37910,4991447000
1999-07-29,,,,161.17,101689000,34970,4215930000
1999-07-30,,,,162.54,71687000,25435,2985800000
1999-07-31,,,,161.45,70381000,25855,2944788000
1999-08-02,,,,159.01,64279000,23200,2455296000
1999-08-03,,,,157.91,90107000,31488,3215820000
1999-08-04,,,,159.12,90226000,29256,3134341000
1999-08-05,,,,155.77,85167000,27366,2874462000
1999-08-06,,,,153.47,111568000,33743,3539777000
1999-08-07,,,,157.48,128474000,39085,4437399000
1999-08-09,,,,155.98,90635000,29016,3176366000
1999-08-10,,,,161.36,135533000,39724,4703109000
1999-08-11,,,,160.08,125922000,37216,4588627000
1999-08-12,,,,162.31,156023000,41444,5220987000
1999-08-13,,,,165.15,171547000,45662,5388558000
1999-08-16,,,,170.62,175323000,46195,5794254000
1999-08-17,,,,170.58,166827000,49062,5941432000
1999-08-18,,,,168.79,174151000,50265,5937892000
1999-08-19,,,,167.76,126554000,38923,4358687000
1999-08-20,,,,171.4,139342000,42980,4846204000
1999-08-21,,,,173.16,184097000,53081,6203078000
1999-08-23,,,,175.35,182930000,47832,5839481000
1999-08-24,,,,173.3,189351000,50433,5961558000
1999-08-25,,,,175.48,146690000,39287,4881697000
1999-08-26,,,,176.7,177015000,47394,6339711000
1999-08-27,,,,176.21,198319000,51037,6785743000
1999-08-30,,,,178.37,173722000,47475,6353889000
1999-08-31,,,,181.62,249189000,66126,8812088000
1999-09-01,184.33,185.92,182.58,183.51,268594000,72714,9627760000
1999-09-02,186.2,187.5,182.96,184.51,261565000,72472,10975751000
1999-09-03,184.55,184.55,180.0,181.97,180765000,57456,7327215000
1999-09-04,185.01,185.42,181.29,182.84,189176000,59025,8321959000
1999-09-06,183.7,183.7,180.73,181.6,162312000,54332,7733417000
1999-09-07,181.86,182.95,177.58,178.73,189049000,61038,8756853000
1999-09-08,178.6,180.9,177.49,180.08,172221000,51688,7096426000
1999-09-09,180.55,180.55,178.94,179.74,157734000,45957,6510471000
1999-09-10,180.7,181.98,180.0,181.77,178215000,51960,6905631000
1999-09-13,182.43,182.62,179.7,180.5,163322000,50804,6027603000
1999-09-14,181.19,182.39,179.17,180.03,186314000,55445,7237775000
1999-09-15,180.63,181.23,177.5,178.63,165930000,49148,5918903000
1999-09-16,176.68,177.79,175.85,176.5,134303000,41796,4874794000
1999-09-17,176.68,178.69,173.45,174.87,150420000,45186,5510486000
1999-09-18,175.67,176.9,175.35,176.5,141706000,42976,5152014000
1999-09-20,176.89,178.18,175.72,177.61,129652000,38355,4738467000
1999-09-27,173.57,173.57,172.32,172.33,14349000,6472,576760000
1999-09-28,168.2,169.96,167.79,169.8,113289000,23014,5666843000
1999-09-29,166.18,170.39,165.55,170.39,178927000,44741,7501685000
1999-09-30,169.92,174.67,169.92,174.23,207291000,53961,8469237000
1999-10-01,174.28,175.12,171.44,174.53,168663000,46882,6914955000
1999-10-02,173.6,174.72,170.26,172.26,143822000,42549,5431225000
1999-10-04,171.09,172.13,168.82,170.95,129363000,36887,4796507000
1999-10-05,171.62,172.81,168.33,169.31,135855000,39260,5152118000
1999-10-06,168.17,168.49,165.85,167.17,113814000,32958,3747344000
1999-10-07,167.61,170.03,167.32,169.28,131767000,38392,4664716000
1999-10-08,168.66,170.27,168.05,169.6,134239000,37835,5170765000
1999-10-11,168.81,169.3,166.75,168.32,93418000,30041,3608112000
1999-10-12,168.86,175.68,168.86,175.68,173761000,49564,6665434000
1999-10-13,174.63,178.1,173.81,178.1,212933000,57922,8622774000
1999-10-14,176.88,183.93,176.88,183.93,211006000,56125,7850736000
1999-10-15,186.0,186.0,181.04,182.48,229017000,70717,8907717000
1999-10-16,177.33,183.29,176.91,183.29,230779000,60599,10386258000
1999-10-18,182.36,185.24,181.73,183.83,205209000,55457,9932836000
1999-10-19,183.26,183.35,180.74,181.35,169207000,49447,7304665000
1999-10-20,179.72,179.72,176.59,177.33,159126000,50222,7345650000
1999-10-21,177.96,178.77,174.92,175.83,204577000,53301,9169536000
1999-10-22,174.68,175.6,168.9,170.84,167451000,47757,7035719000
1999-10-25,170.46,173.51,170.26,173.51,144707000,41615,5766926000
1999-10-26,173.47,175.02,171.75,172.97,154873000,46889,5751820000
1999-10-27,173.29,174.83,171.88,173.68,141284000,45422,5923204000
1999-10-28,174.32,174.6,172.2,172.82,137194000,46479,5535685000
1999-10-29,175.05,175.3,173.23,175.1,177385000,53875,7536115000
1999-10-30,177.65,180.67,177.02,180.67,217899000,65789,9583301000
1999-11-01,181.63,181.63,179.58,180.5,168645000,54169,8249724000
1999-11-02,179.89,180.57,178.44,179.53,174234000,58716,8600326000
1999-11-03,179.97,179.97,175.69,176.13,169497000,56497,7510856000
1999-11-04,176.1,176.45,173.57,174.54,147726000,49317,6209983000
1999-11-05,174.51,176.31,173.16,176.31,164841000,50106,6873559000
1999-11-06,177.17,177.6,174.43,174.56,193279000,58719,8940698000
1999-11-08,173.28,174.13,171.49,174.0,132482000,42958,5897197000
1999-11-09,174.43,176.16,173.35,174.88,150816000,51665,6559496000
1999-11-10,174.65,176.5,173.2,174.27,177387000,57993,7548658000
1999-11-11,175.09,176.59,174.4,175.46,210667000,68308,9415193000
1999-11-15,177.03,177.68,175.54,177.68,197353000,67817,9590940000
1999-11-16,178.14,178.59,175.68,176.95,243805000,84710,11481616000
1999-11-17,178.35,178.57,176.2,177.12,226397000,79225,12608959000
1999-11-18,176.43,177.88,175.83,177.82,275552000,91662,13929606000
1999-11-19,180.18,182.59,180.0,182.02,308323000,101477,14699441000
1999-11-20,187.15,187.15,183.84,185.13,369324000,113818,17205540000
1999-11-22,187.29,189.85,186.35,188.7,359310000,104703,16508271000
1999-11-23,190.86,190.99,185.57,186.83,356693000,113157,15536243000
1999-11-24,184.12,186.02,182.53,183.7,281252000,92434,12093384000
1999-11-25,183.28,186.25,181.84,186.25,343678000,115101,16904520000
1999-11-26,187.4,189.55,177.27,181.12,508448000,162624,24928288000
1999-11-29,184.89,187.14,183.86,187.01,323537000,96784,13955371000
1999-11-30,190.81,190.84,185.63,187.4,404848000,114403,15364518000
1999-12-01,187.69,188.27,184.37,187.49,429455000,105933,15294210000
1999-12-02,188.75,190.51,187.25,188.78,328473000,89807,11554117000
1999-12-03,189.6,191.11,187.76,191.11,306097000,85362,12222709000
1999-12-04,194.51,194.61,189.87,190.7,302725000,95695,13118615000
1999-12-06,190.7,190.92,186.51,188.37,251834000,80951,11044439000
1999-12-07,187.8,187.8,183.94,185.36,236182000,81529,10468447000
1999-12-08,184.71,187.16,183.93,185.46,276078000,94112,13717731000
1999-12-09,184.94,186.88,184.6,185.24,311556000,105867,16770757000
1999-12-10,184.06,184.51,181.19,183.84,231543000,79404,11905808000
1999-12-13,184.39,189.69,184.14,189.69,245037000,80612,12301273000
1999-12-14,191.01,191.01,186.53,187.23,257256000,87041,13271981000
1999-12-15,186.24,189.7,186.24,188.72,265201000,89265,14079494000
1999-12-16,189.81,190.28,186.95,187.91,303702000,101962,15103534000
1999-12-17,189.27,190.97,187.72,190.24,333480000,102011,16509408000
1999-12-18,189.87,191.1,189.38,190.95,258801000,81845,12538675000
1999-12-20,192.04,192.88,191.15,192.82,242045000,77984,12951177000
1999-12-21,194.57,197.01,194.39,197.01,333635000,105835,18425485000
1999-12-22,199.92,200.39,194.7,196.5,367719000,110646,18673627000
1999-12-23,196.6,198.74,195.33,198.74,302839000,98683,14560323000
1999-12-24,199.32,201.5,198.53,201.5,384466000,120339,18443014000
1999-12-27,203.13,204.93,201.42,204.93,374787000,117496,19291302000
1999-12-28,205.58,207.18,202.01,207.18,380362000,114041,18700949000
2000-01-04,211.23,213.98,210.14,211.52,390321000,115018,19875246000
2000-01-05,207.43,212.75,207.43,212.45,414457000,125730,20381175000
2000-01-06,213.7,216.34,212.17,214.92,473068000,141096,22755675000
2000-01-07,214.03,217.56,210.25,217.35,463983000,142730,22542554000
2000-01-10,219.51,223.59,217.9,223.34,469303000,135007,21949196000
2000-01-11,228.06,229.05,216.59,218.59,534508000,163095,24985210000
