date,open,high,low,close,volume,count,capital,ID,name,market
2005-01-19,21.4,21.4,21.4,21.4,690000,528,14766000,8033,雷虎,otc
2005-01-20,22.8,22.8,22.5,22.8,3723000,1639,84812000,8033,雷虎,otc
2005-01-21,23.4,24.3,23.4,24.3,5242000,1393,125130000,8033,雷虎,otc
2005-01-24,24.6,25.8,24.3,25.5,2886000,974,72579000,8033,雷虎,otc
2005-01-25,25.5,25.5,24.1,24.1,1654000,698,41086000,8033,雷虎,otc
2005-01-26,24.1,25.5,24.1,24.5,1161000,441,28780000,8033,雷虎,otc
2005-01-27,24.2,25.5,24.2,24.9,1220000,485,30390000,8033,雷虎,otc
2005-01-28,24.9,26.5,24.7,25.8,2968000,810,76435000,8033,雷虎,otc
2005-01-31,26.1,27.3,26.0,26.9,2678000,742,71667000,8033,雷虎,otc
2005-02-01,27.3,28.7,26.6,28.3,3539000,995,98935000,8033,雷虎,otc
2005-02-02,28.3,28.5,27.6,28.1,2080000,710,58321000,8033,雷虎,otc
2005-02-03,28.0,29.5,27.9,29.4,1951000,726,56631000,8033,雷虎,otc
2005-02-14,30.0,30.4,29.1,29.8,2011000,657,59934000,8033,雷虎,otc
2005-02-15,29.6,30.2,29.0,29.5,1406000,488,41688000,8033,雷虎,otc
2005-02-16,29.1,30.5,29.1,29.8,2134000,722,63883000,8033,雷虎,otc
2005-02-17,30.0,30.1,29.4,29.7,1249000,420,37127000,8033,雷虎,otc
2005-02-18,29.6,31.3,29.2,31.3,2674000,789,80900000,8033,雷虎,otc
2005-02-21,32.8,33.4,32.0,33.4,2798000,854,91857000,8033,雷虎,otc
2005-02-22,33.4,33.4,31.8,31.8,2302000,887,74948000,8033,雷虎,otc
2005-02-23,30.5,32.8,30.5,32.1,1495000,646,47466000,8033,雷虎,otc
2005-02-24,31.9,32.5,31.0,31.0,1637000,581,51989000,8033,雷虎,otc
2005-02-25,31.3,32.2,30.5,31.1,1689000,569,52927000,8033,雷虎,otc
2005-03-01,31.0,31.0,28.95,29.05,1687000,580,50044000,8033,雷虎,otc
2005-03-02,29.0,29.65,28.7,29.3,1708000,499,49781000,8033,雷虎,otc
2005-03-03,29.6,30.8,29.05,30.5,1498000,610,44802000,8033,雷虎,otc
2005-03-04,30.5,31.3,29.9,30.65,1196000,513,36379000,8033,雷虎,otc
2005-03-07,30.65,30.9,30.1,30.1,747000,332,22723000,8033,雷虎,otc
2005-03-08,30.15,31.1,30.1,30.1,1029000,393,31433000,8033,雷虎,otc
2005-03-09,30.7,31.7,30.1,31.1,1439000,515,44203000,8033,雷虎,otc
2005-03-10,31.1,31.1,30.55,30.55,853000,331,26278000,8033,雷虎,otc
2005-03-11,30.6,30.8,30.15,30.15,650000,251,19741000,8033,雷虎,otc
2005-03-14,30.15,30.15,29.1,29.4,636000,262,18870000,8033,雷虎,otc
2005-03-15,29.6,30.0,27.9,28.5,773000,355,22254000,8033,雷虎,otc
2005-03-16,28.1,28.7,27.5,28.6,815000,308,22886000,8033,雷虎,otc
2005-03-17,28.2,28.6,28.0,28.5,443000,193,12552000,8033,雷虎,otc
2005-03-18,28.5,28.8,28.3,28.8,287000,118,8203000,8033,雷虎,otc
2005-03-21,28.9,29.1,28.6,28.6,437000,154,12608000,8033,雷虎,otc
2005-03-22,28.3,28.8,28.1,28.3,488000,146,13810000,8033,雷虎,otc
2005-03-23,28.3,29.4,27.9,29.1,530000,177,15170000,8033,雷虎,otc
2005-03-24,29.5,30.0,29.15,29.15,603000,252,17823000,8033,雷虎,otc
2005-03-25,29.25,29.9,29.25,29.3,558000,123,16396000,8033,雷虎,otc
2005-03-28,29.5,30.3,29.5,29.8,645000,254,19325000,8033,雷虎,otc
2005-03-29,30.0,30.0,29.2,29.2,536000,181,15783000,8033,雷虎,otc
2005-03-30,29.2,29.8,29.2,29.55,427000,156,12654000,8033,雷虎,otc
2005-03-31,30.0,30.4,29.7,29.9,580000,228,17422000,8033,雷虎,otc
2005-04-01,29.8,30.3,29.8,29.9,514000,183,15446000,8033,雷虎,otc
2005-04-04,29.9,31.5,29.9,30.75,838000,329,25774000,8033,雷虎,otc
2005-04-06,31.1,31.1,30.5,30.6,581000,224,17928000,8033,雷虎,otc
2005-04-07,30.8,31.9,30.7,31.4,982000,392,30864000,8033,雷虎,otc
2005-04-08,31.35,31.35,30.7,31.1,425000,191,13150000,8033,雷虎,otc
2005-04-11,31.2,31.2,30.6,30.65,202000,72,6209000,8033,雷虎,otc
2005-04-12,30.5,30.5,29.9,30.0,312000,127,9402000,8033,雷虎,otc
2005-04-13,30.1,30.3,30.0,30.1,236000,89,7100000,8033,雷虎,otc
2005-04-14,30.0,30.1,29.65,29.7,419000,141,12499000,8033,雷虎,otc
2005-04-15,29.8,30.2,29.5,29.8,315000,111,9404000,8033,雷虎,otc
2005-04-18,29.65,29.65,28.0,28.85,644000,209,18490000,8033,雷虎,otc
2005-04-19,28.75,28.85,28.6,28.65,144000,64,4142000,8033,雷虎,otc
2005-04-20,28.85,28.9,27.75,28.45,326000,134,9225000,8033,雷虎,otc
2005-04-21,28.3,28.5,28.0,28.45,139000,73,3931000,8033,雷虎,otc
2005-04-22,29.0,29.25,28.7,29.0,164000,84,4762000,8033,雷虎,otc
2005-04-25,28.8,28.9,28.5,28.6,91000,40,2613000,8033,雷虎,otc
2005-04-26,28.5,28.8,28.45,28.8,135000,42,3861000,8033,雷虎,otc
2005-04-27,28.9,28.9,28.2,28.9,267000,77,7628000,8033,雷虎,otc
2005-04-28,28.6,29.0,28.55,28.9,134000,48,3861000,8033,雷虎,otc
2005-04-29,28.9,28.9,28.7,28.9,154000,51,4448000,8033,雷虎,otc
2005-05-03,29.0,29.4,28.8,28.9,313000,128,9092000,8033,雷虎,otc
2005-05-04,29.0,29.0,28.35,28.4,137000,57,3909000,8033,雷虎,otc
2005-05-05,28.5,29.6,28.45,29.4,338000,125,9919000,8033,雷虎,otc
2005-05-06,29.4,29.6,29.0,29.2,157000,68,4595000,8033,雷虎,otc
2005-05-09,29.0,29.6,29.0,29.5,135000,61,3952000,8033,雷虎,otc
2005-05-10,29.8,31.5,29.6,30.8,1390000,493,42651000,8033,雷虎,otc
2005-05-11,30.5,31.05,29.9,30.8,575000,191,17542000,8033,雷虎,otc
2005-05-12,31.0,32.5,30.9,31.9,1343000,471,42602000,8033,雷虎,otc
2005-05-13,31.4,32.5,31.4,32.5,1416000,437,45281000,8033,雷虎,otc
2005-05-16,32.9,32.9,32.0,32.05,721000,298,23382000,8033,雷虎,otc
2005-05-17,32.2,32.5,30.1,30.4,975000,383,30206000,8033,雷虎,otc
2005-05-18,30.3,32.5,30.2,32.5,1567000,453,49826000,8033,雷虎,otc
2005-05-19,32.9,33.8,32.7,33.2,2524000,694,83843000,8033,雷虎,otc
2005-05-20,33.0,34.5,32.9,34.4,1587000,591,53761000,8033,雷虎,otc
2005-05-23,34.2,36.8,33.9,36.4,2550000,787,90933000,8033,雷虎,otc
2005-05-24,36.4,37.1,35.4,36.5,1634000,648,59290000,8033,雷虎,otc
2005-05-25,36.9,37.0,35.0,35.2,1829000,512,66025000,8033,雷虎,otc
2005-05-26,35.45,36.0,34.3,36.0,828000,396,29356000,8033,雷虎,otc
2005-05-27,36.0,36.45,34.9,35.6,897000,380,31773000,8033,雷虎,otc
2005-05-30,35.0,35.6,34.5,35.6,542000,236,19001000,8033,雷虎,otc
2005-05-31,35.5,36.2,35.1,35.55,562000,202,20027000,8033,雷虎,otc
2005-06-01,35.0,35.6,34.7,35.1,639000,214,22435000,8033,雷虎,otc
2005-06-02,35.5,36.05,35.1,35.8,735000,271,26244000,8033,雷虎,otc
2005-06-03,36.0,36.0,34.8,34.8,756000,310,26557000,8033,雷虎,otc
2005-06-06,34.8,35.3,34.7,34.8,225000,108,7829000,8033,雷虎,otc
2005-06-07,34.9,35.1,34.6,34.85,338000,115,11771000,8033,雷虎,otc
2005-06-08,34.9,36.0,34.9,35.75,624000,251,22287000,8033,雷虎,otc
2005-06-09,35.95,35.95,34.7,34.9,501000,185,17634000,8033,雷虎,otc
2005-06-10,35.0,35.7,35.0,35.05,173000,61,6093000,8033,雷虎,otc
2005-06-13,35.0,35.0,33.05,34.0,1079000,352,36378000,8033,雷虎,otc
2005-06-14,33.8,33.9,33.3,33.8,429000,162,14404000,8033,雷虎,otc
2005-06-15,33.5,34.45,33.5,34.45,311000,130,10608000,8033,雷虎,otc
2005-06-16,34.3,35.35,34.2,34.85,613000,244,21312000,8033,雷虎,otc
2005-06-17,35.1,35.4,34.85,34.85,637000,205,22322000,8033,雷虎,otc
2005-06-20,35.0,35.3,34.7,35.2,308000,105,10770000,8033,雷虎,otc
2005-06-21,34.85,35.25,34.5,35.0,452000,112,15760000,8033,雷虎,otc
2005-06-22,35.0,36.8,35.0,36.5,1143000,387,41322000,8033,雷虎,otc
2005-06-23,36.8,36.9,35.55,35.8,662000,224,23871000,8033,雷虎,otc
2005-06-24,36.0,36.0,35.15,35.4,358000,94,12701000,8033,雷虎,otc
2005-06-27,35.4,36.3,35.3,35.45,570000,192,20387000,8033,雷虎,otc
2005-06-28,35.0,35.95,35.0,35.1,302000,107,10726000,8033,雷虎,otc
2005-06-29,35.35,35.35,34.6,34.9,278000,124,9712000,8033,雷虎,otc
2005-06-30,35.6,36.2,35.0,35.5,1374000,420,49086000,8033,雷虎,otc
2005-07-01,35.8,35.9,35.25,35.9,223000,98,7951000,8033,雷虎,otc
2005-07-04,36.0,36.5,36.0,36.2,513000,168,18576000,8033,雷虎,otc
2005-07-05,36.4,38.7,36.4,38.7,1786000,556,68295000,8033,雷虎,otc
2005-07-06,40.4,41.4,39.5,39.8,2326000,799,94633000,8033,雷虎,otc
2005-07-07,39.9,42.55,39.9,42.2,1970000,617,82655000,8033,雷虎,otc
2005-07-08,42.0,44.8,41.5,43.6,1382000,574,59373000,8033,雷虎,otc
2005-07-11,45.0,46.65,43.6,45.5,1574000,629,71392000,8033,雷虎,otc
2005-07-12,45.6,48.6,45.6,48.0,1354000,581,63696000,8033,雷虎,otc
2005-07-13,48.0,50.9,48.0,50.0,1171000,534,58130000,8033,雷虎,otc
2005-07-14,51.6,51.6,46.8,48.1,964000,538,47076000,8033,雷虎,otc
2005-07-15,49.5,49.5,47.6,49.3,1025000,360,49954000,8033,雷虎,otc
2005-07-19,49.0,50.5,48.0,50.5,777000,322,38373000,8033,雷虎,otc
2005-07-20,50.5,53.5,50.0,53.4,1256000,526,65611000,8033,雷虎,otc
2005-07-21,54.7,57.1,54.7,57.1,731000,274,41081000,8033,雷虎,otc
2005-07-22,61.0,61.0,60.4,61.0,2483000,784,151259000,8033,雷虎,otc
2005-07-25,61.0,61.7,56.8,60.9,1701000,743,100186000,8033,雷虎,otc
2005-07-26,60.7,60.7,57.5,58.0,914000,460,53858000,8033,雷虎,otc
2005-07-27,58.0,62.0,58.0,62.0,1461000,626,88723000,8033,雷虎,otc
2005-07-28,62.3,66.2,60.5,62.0,3304000,1448,209775000,8033,雷虎,otc
2005-07-29,61.5,63.4,57.7,57.7,3097000,1162,181898000,8033,雷虎,otc
2005-08-01,57.6,57.6,55.0,56.2,961000,441,53981000,8033,雷虎,otc
2005-08-02,55.7,57.5,52.5,52.6,1208000,637,66771000,8033,雷虎,otc
2005-08-03,53.1,55.3,52.5,54.5,1882000,790,101479000,8033,雷虎,otc
2005-08-04,54.0,54.0,50.7,51.5,2706000,1100,138187000,8033,雷虎,otc
