date,open,high,low,close
1999-09-01,184.33,185.92,182.58,183.51
1999-09-02,186.2,187.5,182.96,184.51
1999-09-03,184.55,184.55,180.0,181.97
1999-09-04,185.01,185.42,181.29,182.84
1999-09-06,183.7,183.7,180.73,181.6
1999-09-07,181.86,182.95,177.58,178.73
1999-09-08,178.6,180.9,177.49,180.08
1999-09-09,180.55,180.55,178.94,179.74
1999-09-10,180.7,181.98,180.0,181.77
1999-09-13,182.43,182.62,179.7,180.5
1999-09-14,181.19,182.39,179.17,180.03
1999-09-15,180.63,181.23,177.5,178.63
1999-09-16,176.68,177.79,175.85,176.5
1999-09-17,176.68,178.69,173.45,174.87
1999-09-18,175.67,176.9,175.35,176.5
1999-09-20,176.89,178.18,175.72,177.61
1999-09-27,173.57,173.57,172.32,172.33
1999-09-28,168.2,169.96,167.79,169.8
1999-09-29,166.18,170.39,165.55,170.39
1999-09-30,169.92,174.67,169.92,174.23
1999-10-01,174.28,175.12,171.44,174.53
1999-10-02,173.6,174.72,170.26,172.26
1999-10-04,171.09,172.13,168.82,170.95
1999-10-05,171.62,172.81,168.33,169.31
1999-10-06,168.17,168.49,165.85,167.17
1999-10-07,167.61,170.03,167.32,169.28
1999-10-08,168.66,170.27,168.05,169.6
1999-10-11,168.81,169.3,166.75,168.32
1999-10-12,168.86,175.68,168.86,175.68
1999-10-13,174.63,178.1,173.81,178.1
1999-10-14,176.88,183.93,176.88,183.93
1999-10-15,186.0,186.0,181.04,182.48
1999-10-16,177.33,183.29,176.91,183.29
1999-10-18,182.36,185.24,181.73,183.83
1999-10-19,183.26,183.35,180.74,181.35
1999-10-20,179.72,179.72,176.59,177.33
1999-10-21,177.96,178.77,174.92,175.83
1999-10-22,174.68,175.6,168.9,170.84
1999-10-25,170.46,173.51,170.26,173.51
1999-10-26,173.47,175.02,171.75,172.97
1999-10-27,173.29,174.83,171.88,173.68
1999-10-28,174.32,174.6,172.2,172.82
1999-10-29,175.05,175.3,173.23,175.1
1999-10-30,177.65,180.67,177.02,180.67
1999-11-01,181.63,181.63,179.58,180.5
1999-11-02,179.89,180.57,178.44,179.53
1999-11-03,179.97,179.97,175.69,176.13
1999-11-04,176.1,176.45,173.57,174.54
1999-11-05,174.51,176.31,173.16,176.31
1999-11-06,177.17,177.6,174.43,174.56
1999-11-08,173.28,174.13,171.49,174.0
1999-11-09,174.43,176.16,173.35,174.88
1999-11-10,174.65,176.5,173.2,174.27
1999-11-11,175.09,176.59,174.4,175.46
1999-11-15,177.03,177.68,175.54,177.68
1999-11-16,178.14,178.59,175.68,176.95
1999-11-17,178.35,178.57,176.2,177.12
1999-11-18,176.43,177.88,175.83,177.82
1999-11-19,180.18,182.59,180.0,182.02
1999-11-20,187.15,187.15,183.84,185.13
1999-11-22,187.29,189.85,186.35,188.7
1999-11-23,190.86,190.99,185.57,186.83
1999-11-24,184.12,186.02,182.53,183.7
1999-11-25,183.28,186.25,181.84,186.25
1999-11-26,187.4,189.55,177.27,181.12
1999-11-29,184.89,187.14,183.86,187.01
1999-11-30,190.81,190.84,185.63,187.4
1999-12-01,187.69,188.27,184.37,187.49
1999-12-02,188.75,190.51,187.25,188.78
1999-12-03,189.6,191.11,187.76,191.11
1999-12-04,194.51,194.61,189.87,190.7
1999-12-06,190.7,190.92,186.51,188.37
1999-12-07,187.8,187.8,183.94,185.36
1999-12-08,184.71,187.16,183.93,185.46
1999-12-09,184.94,186.88,184.6,185.24
1999-12-10,184.06,184.51,181.19,183.84
1999-12-13,184.39,189.69,184.14,189.69
1999-12-14,191.01,191.01,186.53,187.23
1999-12-15,186.24,189.7,186.24,188.72
1999-12-16,189.81,190.28,186.95,187.91
1999-12-17,189.27,190.97,187.72,190.24
1999-12-18,189.87,191.1,189.38,190.95
1999-12-20,192.04,192.88,191.15,192.82
1999-12-21,194.57,197.01,194.39,197.01
1999-12-22,199.92,200.39,194.7,196.5
1999-12-23,196.6,198.74,195.33,198.74
1999-12-24,199.32,201.5,198.53,201.5
1999-12-27,203.13,204.93,201.42,204.93
1999-12-28,205.58,207.18,202.01,207.18
2000-01-04,211.23,213.98,210.14,211.52
2000-01-05,207.43,212.75,207.43,212.45
2000-01-06,213.7,216.34,212.17,214.92
2000-01-07,214.03,217.56,210.25,217.35
2000-01-10,219.51,223.59,217.9,223.34
2000-01-11,228.06,229.05,216.59,218.59
2000-01-12,219.38,221.51,216.98,221.33
2000-01-13,223.37,223.64,219.43,221.57
2000-01-14,224.42,225.63,219.22,222.88
2000-01-15,225.53,226.88,222.33,226.88
2000-01-17,228.3,229.91,225.96,229.14
2000-01-18,229.47,229.51,225.01,226.72
2000-01-19,225.97,230.29,225.97,226.96
2000-01-20,227.57,229.37,224.99,229.37
2000-01-21,230.5,235.29,230.5,234.85
2000-01-24,238.56,241.55,238.03,241.42
2000-01-25,241.9,245.37,239.48,244.61
2000-01-26,248.36,251.53,246.82,250.96
2000-01-27,252.89,254.96,246.42,247.52
2000-01-28,246.6,246.6,242.36,243.77
2000-01-29,239.56,245.05,238.61,245.05
2000-01-31,245.71,252.35,245.24,252.35
2000-02-01,256.75,258.22,255.07,258.08
2000-02-09,268.0,269.51,262.81,268.84
2000-02-10,270.91,273.74,267.05,273.32
2000-02-11,278.31,281.27,274.33,279.79
2000-02-14,281.09,283.47,276.9,277.83
2000-02-15,277.8,278.03,267.31,271.23
2000-02-16,272.01,277.57,272.01,276.5
2000-02-17,279.01,281.7,278.58,280.59
2000-02-18,284.71,286.19,278.44,280.73
2000-02-19,279.91,282.48,277.64,282.48
2000-02-21,284.82,284.82,271.76,273.3
2000-02-22,268.81,269.64,257.97,262.61
2000-02-23,261.65,266.75,261.17,262.73
2000-02-24,265.85,267.53,261.89,263.4
2000-02-25,264.59,264.59,254.48,256.1
2000-02-29,259.39,261.48,255.39,257.1
2000-03-01,262.78,266.86,262.78,266.78
2000-03-02,271.66,271.66,263.79,266.32
2000-03-03,266.89,271.73,266.4,271.73
2000-03-04,275.65,275.86,271.79,273.37
2000-03-06,274.45,274.45,270.81,273.4
2000-03-07,274.01,276.68,266.28,269.31
2000-03-08,268.87,273.36,268.87,273.36
2000-03-09,275.83,281.53,275.83,281.53
2000-03-10,287.19,287.21,275.35,276.56
2000-03-13,270.3,270.3,258.35,259.29
2000-03-14,248.66,253.35,247.52,251.17
2000-03-15,244.28,254.1,242.23,242.91
2000-03-16,232.23,239.81,228.46,239.81
2000-03-17,238.41,242.07,235.7,241.31
2000-03-20,234.26,235.75,234.26,235.57
2000-03-21,231.47,250.7,231.47,250.7
2000-03-22,256.26,262.51,254.86,262.34
2000-03-23,272.12,277.89,272.12,277.74
2000-03-24,284.85,284.85,277.43,284.07
2000-03-27,284.67,296.05,284.67,295.41
2000-03-28,298.17,300.09,289.53,296.89
2000-03-29,292.49,296.77,289.71,296.77
