date,close,volume,count,capital
1999-01-05,158.0,94906000,28863,3106583000
1999-01-06,156.62,101065000,31523,3062908000
1999-01-07,160.6,124158000,35027,3587460000
1999-01-08,161.93,144402000,39798,4217611000
1999-01-11,162.38,108448000,31861,3551482000
1999-01-12,160.73,98167000,32692,3332946000
1999-01-13,157.41,170531000,44394,5523432000
1999-01-14,154.44,177969000,44285,5536289000
1999-01-15,158.86,143286000,39569,4260251000
1999-01-16,160.55,194512000,48159,5596135000
1999-01-18,156.37,100883000,28581,2769236000
1999-01-19,155.58,84746000,24889,2349110000
1999-01-20,155.16,100190000,26954,2698190000
1999-01-21,156.82,115575000,33779,3234272000
1999-01-22,154.32,99468000,32922,3121363000
1999-01-25,149.53,90383000,26443,2555834000
1999-01-26,151.28,113188000,28475,3073099000
1999-01-27,153.19,128957000,32454,3472425000
1999-01-28,151.02,74790000,23794,2044790000
1999-01-29,149.92,84368000,25041,2376453000
1999-01-30,151.3,144289000,37654,3524893000
1999-02-01,147.55,89228000,24690,2158398000
1999-02-02,143.94,90141000,25218,2284737000
1999-02-03,143.48,99732000,28827,2448824000
1999-02-04,138.99,121785000,33043,3002797000
1999-02-05,140.08,105463000,30802,2744815000
1999-02-06,146.25,143841000,38604,3711133000
1999-02-08,149.5,148595000,40163,3968488000
1999-02-09,146.16,96394000,27878,2369122000
1999-02-10,147.05,108623000,29826,2663000000
1999-02-20,152.86,126341000,30805,3040973000
1999-02-22,157.25,138650000,31539,3352014000
1999-02-23,154.77,258996000,60884,6457886000
1999-02-24,154.21,144274000,36448,3512698000
1999-02-25,156.51,191681000,49016,4927697000
1999-02-26,155.99,135962000,36052,3161525000
1999-03-01,154.96,120853000,31470,2924449000
1999-03-02,153.24,96599000,28400,2385138000
1999-03-03,156.07,138841000,38650,3519941000
1999-03-04,155.77,160684000,42197,3935329000
1999-03-05,155.31,125573000,33541,3082046000
1999-03-06,156.23,107800000,31597,2777076000
1999-03-08,156.56,71868000,23043,1899970000
1999-03-09,158.37,119268000,37572,3361771000
1999-03-10,158.44,143635000,38997,3724583000
1999-03-11,157.61,134183000,40403,4117385000
1999-03-12,157.06,94941000,31448,2927343000
1999-03-15,159.97,141852000,39336,4119863000
1999-03-16,159.59,170863000,48740,4975529000
1999-03-17,162.52,222948000,59424,6147248000
1999-03-18,165.2,226479000,61626,6422089000
1999-03-19,166.88,227665000,63176,6609245000
1999-03-20,166.01,195704000,55822,5727272000
1999-03-22,167.89,172337000,47103,5344027000
1999-03-23,166.62,177852000,55238,5805438000
1999-03-24,165.02,129191000,42435,4068962000
1999-03-25,166.15,137171000,40305,4346044000
1999-03-26,166.24,134529000,38949,4319742000
1999-03-29,162.76,139664000,37660,3873915000
1999-03-30,162.04,115622000,35718,3539149000
1999-03-31,161.85,95998000,29170,2826622000
1999-04-01,162.12,107887000,32921,3216434000
1999-04-02,166.26,201782000,50327,5643796000
1999-04-03,165.62,194877000,51529,5638286000
1999-04-06,165.09,121993000,31476,3493483000
1999-04-07,164.03,120343000,33752,3644880000
1999-04-08,166.71,184177000,49046,5605113000
1999-04-09,165.31,160258000,44580,5128080000
1999-04-12,164.38,118689000,37438,4010744000
1999-04-13,167.42,172455000,45799,5815704000
1999-04-14,170.26,261059000,67154,8436580000
1999-04-15,173.0,289933000,73899,9054142000
1999-04-16,176.45,393684000,92557,12058871000
1999-04-17,178.1,344714000,83937,9576603000
1999-04-19,181.35,355475000,76611,9863665000
1999-04-20,179.86,292075000,73730,7993989000
1999-04-21,174.22,275425000,75349,8064731000
1999-04-22,173.62,194345000,54033,5968019000
1999-04-23,176.22,207134000,53786,6427589000
1999-04-26,176.78,157209000,43744,5075578000
1999-04-27,174.16,181405000,49930,5460723000
1999-04-28,172.52,139734000,38878,4626680000
1999-04-29,168.53,141246000,39564,4251286000
1999-04-30,170.76,130200000,37049,4187921000
1999-05-03,173.91,160807000,45686,5367737000
1999-05-04,177.49,246429000,62881,8000518000
1999-05-05,176.74,227243000,61208,7272458000
1999-05-06,177.75,192611000,57886,7107478000
1999-05-07,177.64,192611000,57886,7107478000
1999-05-10,181.94,227210000,75813,9052692000
1999-05-11,179.57,254650000,76493,9270176000
1999-05-12,177.96,139920000,45102,5432016000
1999-05-13,176.36,126177000,38982,4297648000
1999-05-14,179.18,151345000,44296,5100438000
1999-05-15,178.46,138468000,48614,5500195000
1999-05-17,178.36,168251000,51924,7254851000
1999-05-18,177.55,151811000,49768,6311558000
1999-05-19,180.77,203727000,64125,8729511000
1999-05-20,179.55,203126000,66486,9022022000
1999-05-21,180.21,154731000,50143,6623236000
1999-05-24,180.01,217691000,69531,9725233000
1999-05-25,176.86,251231000,80241,11123302000
1999-05-26,174.57,200395000,67609,9006880000
1999-05-27,175.21,163135000,53716,7419761000
1999-05-28,173.04,175899000,56759,7765795000
1999-05-29,173.84,183452000,64782,10023553000
1999-05-31,169.86,200412000,66642,9620045000
1999-06-01,171.93,164075000,55325,6961778000
1999-06-02,173.58,185415000,54712,7434942000
1999-06-03,174.27,225882000,66124,9024451000
1999-06-04,176.1,187858000,56626,7414087000
1999-06-05,177.65,230137000,69356,9074651000
1999-06-07,177.63,228649000,73134,9026144000
1999-06-08,182.32,275441000,78149,10555867000
1999-06-09,180.84,230282000,72071,9743927000
1999-06-10,181.32,252154000,73444,10442318000
1999-06-11,180.15,208380000,61176,8056477000
1999-06-14,178.24,143285000,46212,5685453000
1999-06-15,175.3,160426000,51293,6280615000
1999-06-16,175.07,143862000,50279,6144167000
1999-06-17,177.83,237344000,71031,9610661000
1999-06-21,179.16,266422000,76690,10210905000
1999-06-22,180.91,297741000,79133,11155551000
1999-06-23,178.98,246745000,70652,9108552000
1999-06-24,181.0,216812000,64912,8515710000
1999-06-25,174.76,200430000,64433,8285011000
1999-06-28,174.46,129316000,44179,5819013000
1999-06-29,179.95,202147000,60479,8311947000
1999-06-30,178.62,194434000,60031,8318553000
1999-07-02,180.14,222933000,68907,10004762000
1999-07-03,179.81,199536000,63544,8714101000
1999-07-05,181.2,154131000,48049,6491361000
1999-07-06,178.42,181663000,56482,7337213000
1999-07-07,177.63,158185000,50886,6856467000
1999-07-08,180.43,177953000,48640,6832250000
1999-07-09,180.58,204667000,60941,8276964000
1999-07-12,181.02,205360000,60304,9101284000
1999-07-13,176.09,225835000,75740,10370153000
1999-07-14,169.27,192728000,54632,6871205000
1999-07-15,170.55,169741000,50011,6311211000
1999-07-16,160.23,201822000,61961,8474180000
1999-07-17,158.12,192562000,58260,7069698000
1999-07-19,158.26,140514000,44811,5652331000
1999-07-20,166.32,140660000,42947,5693609000
1999-07-21,165.55,163142000,55620,7722163000
1999-07-22,165.09,132199000,44300,6245662000
1999-07-23,165.18,108470000,37844,4567461000
1999-07-26,164.75,111131000,40263,5575366000
1999-07-27,161.33,107672000,38392,5046652000
1999-07-28,163.98,117981000,37910,4991447000
1999-07-29,161.17,101689000,34970,4215930000
1999-07-30,162.54,71687000,25435,2985800000
1999-07-31,161.45,70381000,25855,2944788000
1999-08-02,159.01,64279000,23200,2455296000
1999-08-03,157.91,90107000,31488,3215820000
1999-08-04,159.12,90226000,29256,3134341000
1999-08-05,155.77,85167000,27366,2874462000
1999-08-06,153.47,111568000,33743,3539777000
1999-08-07,157.48,128474000,39085,4437399000
1999-08-09,155.98,90635000,29016,3176366000
1999-08-10,161.36,135533000,39724,4703109000
1999-08-11,160.08,125922000,37216,4588627000
1999-08-12,162.31,156023000,41444,5220987000
1999-08-13,165.15,171547000,45662,5388558000
1999-08-16,170.62,175323000,46195,5794254000
1999-08-17,170.58,166827000,49062,5941432000
1999-08-18,168.79,174151000,50265,5937892000
1999-08-19,167.76,126554000,38923,4358687000
1999-08-20,171.4,139342000,42980,4846204000
1999-08-21,173.16,184097000,53081,6203078000
1999-08-23,175.35,182930000,47832,5839481000
1999-08-24,173.3,189351000,50433,5961558000
1999-08-25,175.48,146690000,39287,4881697000
1999-08-26,176.7,177015000,47394,6339711000
1999-08-27,176.21,198319000,51037,6785743000
1999-08-30,178.37,173722000,47475,6353889000
1999-08-31,181.62,249189000,66126,8812088000
1999-09-01,183.51,268594000,72714,9627760000
1999-09-02,184.51,261565000,72472,10975751000
1999-09-03,181.97,180765000,57456,7327215000
1999-09-04,182.84,189176000,59025,8321959000
1999-09-06,181.6,162312000,54332,7733417000
1999-09-07,178.73,189049000,61038,8756853000
1999-09-08,180.08,172221000,51688,7096426000
1999-09-09,179.74,157734000,45957,6510471000
1999-09-10,181.77,178215000,51960,6905631000
1999-09-13,180.5,163322000,50804,6027603000
1999-09-14,180.03,186314000,55445,7237775000
1999-09-15,178.63,165930000,49148,5918903000
1999-09-16,178.63,134303000,41796,4874794000
1999-09-17,174.87,150420000,45186,5510486000
1999-09-18,176.5,141706000,42976,5152014000
1999-09-20,177.61,129652000,38355,4738467000
1999-09-27,172.33,14349000,6472,576760000
1999-09-28,169.8,113289000,23014,5666843000
1999-09-29,170.39,178927000,44741,7501685000
1999-09-30,174.23,207291000,53961,8469237000
1999-10-01,174.53,168663000,46882,6914955000
1999-10-02,172.26,143822000,42549,5431225000
1999-10-04,170.95,129363000,36887,4796507000
1999-10-05,169.31,135855000,39260,5152118000
1999-10-06,167.17,113814000,32958,3747344000
1999-10-07,169.28,131767000,38392,4664716000
1999-10-08,169.6,134239000,37835,5170765000
1999-10-11,168.32,93418000,30041,3608112000
1999-10-12,175.68,173761000,49564,6665434000
1999-10-13,178.1,212933000,57922,8622774000
1999-10-14,183.93,211006000,56125,7850736000
1999-10-15,182.48,229017000,70717,8907717000
1999-10-16,183.29,230779000,60599,10386258000
1999-10-18,183.83,205209000,55457,9932836000
1999-10-19,181.35,169207000,49447,7304665000
1999-10-20,177.33,159126000,50222,7345650000
1999-10-21,175.83,204577000,53301,9169536000
1999-10-22,170.84,167451000,47757,7035719000
1999-10-25,173.51,144707000,41615,5766926000
1999-10-26,172.97,154873000,46889,5751820000
1999-10-27,173.68,141284000,45422,5923204000
1999-10-28,172.82,137194000,46479,5535685000
1999-10-29,175.1,177385000,53875,7536115000
1999-10-30,180.67,217899000,65789,9583301000
1999-11-01,180.5,168645000,54169,8249724000
1999-11-02,179.53,174234000,58716,8600326000
1999-11-03,176.13,169497000,56497,7510856000
1999-11-04,174.54,147726000,49317,6209983000
1999-11-05,176.31,164841000,50106,6873559000
1999-11-06,174.56,193279000,58719,8940698000
1999-11-08,174.0,132482000,42958,5897197000
1999-11-09,174.88,150816000,51665,6559496000
1999-11-10,174.27,177387000,57993,7548658000
1999-11-11,175.46,210667000,68308,9415193000
1999-11-15,177.68,197353000,67817,9590940000
1999-11-16,176.95,243805000,84710,11481616000
1999-11-17,177.12,226397000,79225,12608959000
1999-11-18,177.82,275552000,91662,13929606000
1999-11-19,182.02,308323000,101477,14699441000
1999-11-20,185.13,369324000,113818,17205540000
1999-11-22,188.7,359310000,104703,16508271000
1999-11-23,186.83,356693000,113157,15536243000
1999-11-24,183.7,281252000,92434,12093384000
1999-11-25,186.25,343678000,115101,16904520000
1999-11-26,181.12,508448000,162624,24928288000
1999-11-29,187.01,323537000,96784,13955371000
1999-11-30,187.4,404848000,114403,15364518000
1999-12-01,187.49,429455000,105933,15294210000
1999-12-02,188.78,328473000,89807,11554117000
1999-12-03,191.11,306097000,85362,12222709000
1999-12-04,190.7,302725000,95695,13118615000
1999-12-06,188.37,251834000,80951,11044439000
1999-12-07,185.36,236182000,81529,10468447000
1999-12-08,185.46,276078000,94112,13717731000
1999-12-09,185.24,311556000,105867,16770757000
1999-12-10,183.84,231543000,79404,11905808000
1999-12-13,189.69,245037000,80612,12301273000
1999-12-14,187.23,257256000,87041,13271981000
1999-12-15,188.72,265201000,89265,14079494000
1999-12-16,187.91,303702000,101962,15103534000
1999-12-17,190.24,333480000,102011,16509408000
1999-12-18,190.95,258801000,81845,12538675000
1999-12-20,192.82,242045000,77984,12951177000
1999-12-21,197.01,333635000,105835,18425485000
1999-12-22,196.5,367719000,110646,18673627000
1999-12-23,198.74,302839000,98683,14560323000
1999-12-24,201.5,384466000,120339,18443014000
1999-12-27,204.93,374787000,117496,19291302000
1999-12-28,207.18,380362000,114041,18700949000
2000-01-04,211.52,390321000,115018,19875246000
2000-01-05,212.45,414457000,125730,20381175000
2000-01-06,214.92,473068000,141096,22755675000
2000-01-07,217.35,463983000,142730,22542554000
2000-01-10,223.34,469303000,135007,21949196000
2000-01-11,218.59,534508000,163095,24985210000
2000-01-12,221.33,468530000,139656,21485001000
2000-01-13,221.57,562607000,160885,24805637000
2000-01-14,222.88,567132000,151711,22003534000
2000-01-15,226.88,453720000,129861,18830046000
2000-01-17,229.14,429903000,123216,18764422000
2000-01-18,226.72,409468000,124644,16936341000
2000-01-19,226.96,522227000,141798,20251782000
2000-01-20,229.37,387327000,116371,16428016000
2000-01-21,234.85,556192000,152828,23989582000
2000-01-24,241.42,626520000,169244,27222313000
2000-01-25,244.61,718970000,201417,28687876000
2000-01-26,250.96,725243000,197556,29766800000
2000-01-27,247.52,803616000,217309,30311561000
2000-01-28,243.77,611389000,165748,21768824000
2000-01-29,245.05,428496000,126424,18171458000
2000-01-31,252.35,438920000,128877,20783209000
2000-02-01,258.08,573116000,166114,26816070000
2000-02-09,268.84,654464000,173321,31347815000
2000-02-10,273.32,839041000,223849,37106175000
2000-02-11,279.79,821804000,229744,37949460000
2000-02-14,277.83,889648000,260085,42869155000
2000-02-15,271.23,763862000,229224,33729875000
2000-02-16,276.5,650633000,186123,28934385000
2000-02-17,280.59,731129000,206348,35189723000
2000-02-18,280.73,665789000,198271,32239207000
2000-02-19,282.48,559004000,171268,28210186000
2000-02-21,273.3,595178000,177271,28753760000
2000-02-22,262.61,546396000,169310,25518260000
2000-02-23,262.73,446676000,140442,21150736000
2000-02-24,263.4,444116000,134226,21578326000
2000-02-25,256.1,450276000,149955,26851124000
2000-02-29,257.1,359194000,116195,20933190000
2000-03-01,266.78,405893000,124219,21183058000
2000-03-02,266.32,490384000,146568,24630194000
2000-03-03,271.73,472314000,153100,26521291000
2000-03-04,273.37,554682000,191732,32977615000
2000-03-06,273.4,582013000,193843,36702393000
2000-03-07,269.31,609512000,216460,40199065000
2000-03-08,273.36,523524000,186087,35289446000
2000-03-09,281.53,603344000,200910,39100192000
2000-03-10,276.56,647515000,229661,47576900000
2000-03-13,259.29,321289000,103917,18003898000
2000-03-14,251.17,369968000,121742,20486655000
2000-03-15,242.91,377469000,132958,22685214000
2000-03-16,239.81,303513000,98876,15359055000
2000-03-17,241.31,409046000,131941,21582691000
2000-03-20,235.57,125823000,32447,7615758000
2000-03-21,250.7,484977000,122990,21778941000
2000-03-22,262.34,558127000,167265,31310129000
2000-03-23,277.74,489667000,136700,24814358000
2000-03-24,284.07,653449000,208829,39546308000
2000-03-27,295.41,616977000,193665,38018149000
2000-03-28,296.89,680701000,228602,42648970000
2000-03-29,296.77,504478000,172458,33074103000
2000-03-30,296.08,654228000,208670,37935463000
2000-03-31,290.72,497636000,165356,27610396000
2000-04-01,303.23,547897000,176861,32050602000
2000-04-05,309.39,666291000,203522,39390586000
2000-04-06,308.41,823125000,245909,45518285000
2000-04-07,305.57,686936000,218973,39149430000
2000-04-08,315.89,790404000,251998,47471511000
2000-04-10,326.42,834836000,259576,53937325000
2000-04-11,325.6,879687000,302089,57545162000
2000-04-12,317.58,714607000,255922,48627004000
2000-04-13,307.95,617884000,213861,35654950000
2000-04-14,297.56,585981000,203462,33240685000
2000-04-15,282.68,456518000,147893,20430908000
2000-04-17,290.45,498339000,165520,29220486000
2000-04-18,299.47,655605000,204925,36987558000
2000-04-19,293.17,527491000,182854,31461780000
2000-04-20,288.78,401076000,138114,22692624000
2000-04-21,288.22,325065000,117009,18206172000
2000-04-24,275.42,311520000,110728,15505084000
2000-04-25,275.4,335235000,122785,18802101000
